Mineral Name,Country of Type Locality
Lingunite,China (meteorite)
Shenzhuangite,China (meteorite)
Tuite,China (meteorite)
Xieite,China (meteorite)
Xifengite,China (meteorite)
Chrombismite,China
Chromium,China
Chukochenite,China
Clinofergusonite-(Ce),China
Clinofergusonite-(Nd),China
Cuprodongchuanite,China
Cuprozheshengite,China
Damiaoite,China
Danbaite,China
Daomanite,China
Daqingshanite-(Ce),China
Dingdaohengite-(Ce),China
Dongchuanite,China
Erlianite,China
Ertixiite,China
Fengchengite,China
Ferrisepiolite,China
Ferrotaaffeite-2N'2S,China
Fluorannite,China
Fluorcalciopyrochlore,China
Fluorluanshiweiite,China
Fluornatropyrochlore,China
Fluoro-nyb?ite,China
Fluoro-taramite,China
Fluorokinoshitalite,China
Fluorotetraferriphlogopite,China
Fluorsigaiite,China
Furongite,China
Anduoite,China
Gananite,China
Gaotaiite,China
Gugiaite,China
Gysinite-(La),China
Haitaite-(La),China
Antimonselite,China
Hanjiangite,China
Hemleyite,China
Hezuolinite,China
Hingganite-(Y),China
Hongheite,China
Hongshiite,China
Hsianghualite,China
Huanghoite-(Ce),China
Hubeite,China
Hunchunite,China
Hungchaoite,China
Hydrochlorborite,China
Hydroplumboelsmoreite,China
Hydroxycalciopyrochlore,China
Jianshuiite,China
Jingsuiite,China
Jingwenite-(Y),China
Jinshajiangite,China
Argentotetrahedrite-(Hg),China
Kangjinlaite,China
Kaolinite,China
Kenoargentotetrahedrite-(Zn),China
Kenorozhdestvenskayaite-(Fe),China
Laihunite,China
Lanmuchangite,China
Leadamalgam,China
Arsenoveszelyite,China
Liberite,China
Liguowuite,China
Lingbaoite,China
Linzhiite,China
Lishizhenite,China
Lisiguangite,China
Luanheite,China
Luanshiweiite,China
Lunijianlaite,China
Luobusaite,China
Magbasite,China
Magnesio-ferri-hornblende,China
Magnesiohulsite,China
Magnesionigerite-2N1S,China
Magnesionigerite-6N6S,China
Makotoite,China
Malanite,China
Maohokite,China
Maoniupingite-(Ce),China
Mayingite,China
Meifuite,China
Mengxianminite,China
Aeschynite-(Nd),China
Mianningite,China
Minjiangite,China
Moxuanxueite,China
Nanlingite,China
Nanpingite,China
Naquite,China
Badengzhuite,China
Bafertisite,China
Omeiite,China
Balipholite,China
Orthobrannerite,China
Ottensite,China
Oxynatromicrolite,China
Baotite,China
Pengite,China
Pingguite,China
Potassic-hastingsite,China
Qilianshanite,China
Qingheiite,China
Qingsongite,China
Qitianlingite,China
Qusongite,China
Ruarsite,China
Ruizhongite,China
Shijiangshanite,China
Shimenite,China
Shuangfengite,China
Strontiohurlbutite,China
Suolunite,China
Taipingite-(Ce),China
Tangdanite,China
Tengchongite,China
Tennantite-(Ni),China
Tetra-auricupride,China
Tetrahedrite-(Ni),China
Tewite,China
Tianhongqiite,China
Titanium,China
Tongbaite,China
Wangdaodeite,China
Weishanite,China
Wenjiite,China
Wodegongjieite,China
Wumuite,China
Wuyanzhiite,China
Xiangjiangite,China
Xilingolite,China
Ximengite,China
Xingzhongite,China
Xitieshanite,China
Xuwenyuanite,China
Yangzhumingite,China
Yarlongite,China
Yimengite,China
Yingjiangite,China
Yixunite,China
Yuanfuliite,China
Yuanjiangite,China
Zabuyelite,China
Zangboite,China
Zhanghengite,China
Zhangpeishanite,China
Zhengminghuaite,China
Zheshengite,China
Zhiqinite,China
Zincobotryogen,China
Zincocopiapite,China
Zinconigerite-2N1S,China
Zinconigerite-6N6S,China
Zincospiroffite,China
Zincovoltaite,China
Calcioancylite-(La),China
Carboborite,China
Cebaite-(Ce),China
Chaidamuite,China
Changbaiite,China
Changchengite,China
Chengdeite,China
Chenguodaite,China
Chiluite,China
Parisite-(Ce),Colombia
Cubanite,Cuba
Orientite,Cuba
Silicon,Cuba
Diaphorite,Czech Republic / Germany
Fritzscheite,Czech Republic / Germany
Stolzite,Czech Republic / Germany
